Transaction Date,Type,Order,Card Brand,Card Source,Payout Status,Payout Date,Available On,Amount,Fee,Net,Checkout,Payment Method Name,Presentment Amount,Presentment Currency,Currency
2025-06-28 11:56:44 -0400,charge,#42927,visa,stripe_terminal,paid,2025-07-01,2025-07-01,70.28,1.69,68.59,#35734111682653,card,70.28,USD,USD
2025-06-28 11:53:15 -0400,charge,#42924,master,stripe_terminal,paid,2025-07-01,2025-07-01,18.36,0.44,17.92,#35734099034205,card,18.36,USD,USD
2025-06-28 11:51:42 -0400,charge,#42923,visa,stripe_terminal,paid,2025-07-01,2025-07-01,40.08,0.96,39.12,#35734083338333,card,40.08,USD,USD
2025-06-28 11:49:21 -0400,charge,#42922,master,stripe_terminal,paid,2025-07-01,2025-07-01,42.01,1.01,41.00,#35734059417693,card,42.01,USD,USD
2025-06-28 11:46:36 -0400,charge,#42921,master,stripe_terminal,paid,2025-07-01,2025-07-01,30.85,0.74,30.11,#35734049488989,card,30.85,USD,USD
2025-06-28 11:44:37 -0400,charge,#42920,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,50.87,1.22,49.65,#35733937750109,card,50.87,USD,USD
2025-06-28 11:42:34 -0400,charge,#42919,master,stripe_terminal,paid,2025-07-01,2025-07-01,163.00,3.91,159.09,#35727090548829,card,163.00,USD,USD
2025-06-28 11:41:55 -0400,charge,#42918,master,stripe_terminal,paid,2025-07-01,2025-07-01,36.93,0.89,36.04,#35734014820445,card,36.93,USD,USD
2025-06-28 11:40:49 -0400,charge,#42917,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,417.80,10.03,407.77,#35734001844317,card,417.80,USD,USD
2025-06-28 11:38:51 -0400,charge,#42916,master,stripe_terminal,paid,2025-07-01,2025-07-01,61.70,1.48,60.22,#35733992603741,card,61.70,USD,USD
2025-06-28 11:38:47 -0400,refund,#42819,master,online,paid,2025-07-01,2025-07-01,-14.00,0.00,-14.00,#35725347192925,card,14.00,USD,USD
2025-06-28 11:37:27 -0400,charge,#42915,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,127.66,3.06,124.60,#35727261991005,card,127.66,USD,USD
2025-06-28 11:29:00 -0400,charge,#42914,visa,stripe_terminal,paid,2025-07-01,2025-07-01,63.40,1.52,61.88,#35727325954141,card,63.40,USD,USD
2025-06-28 11:03:39 -0400,charge,#42913,american_express,online,paid,2025-07-01,2025-07-01,103.50,3.82,99.68,#35733851963485,card,103.50,USD,USD
2025-06-28 10:19:42 -0400,charge,#42912,visa,online,paid,2025-07-01,2025-07-01,57.50,1.68,55.82,#35733556166749,card,57.50,USD,USD
2025-06-28 10:04:40 -0400,charge,#42911,master,stripe_terminal,paid,2025-07-01,2025-07-01,465.69,11.18,454.51,#35733330690141,card,465.69,USD,USD
2025-06-28 09:37:14 -0400,refund,#41728,american_express,online,paid,2025-06-30,2025-06-28,-9.95,0.00,-9.95,#35587137470557,card,9.95,USD,USD
2025-06-28 09:37:12 -0400,refund,#41728,american_express,online,paid,2025-06-30,2025-06-28,-179.55,0.00,-179.55,#35587137470557,card,179.55,USD,USD
2025-06-28 09:15:03 -0400,charge,#42910,visa,online,paid,2025-07-01,2025-07-01,34.00,1.12,32.88,#35733142503517,card,34.00,USD,USD
2025-06-27 21:24:16 -0400,charge,#42909,american_express,online,paid,2025-07-01,2025-07-01,76.49,2.90,73.59,#35705858228317,card,76.49,USD,USD
2025-06-27 17:19:42 -0400,charge,#42908,visa,stripe_terminal,paid,2025-07-01,2025-07-01,44.50,1.07,43.43,#35727627550813,card,44.50,USD,USD
2025-06-27 16:22:58 -0400,charge,#42906,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,21.60,0.52,21.08,#35727203631197,card,21.60,USD,USD
2025-06-27 16:14:31 -0400,charge,#42905,visa,stripe_terminal,paid,2025-07-01,2025-07-01,114.78,2.75,112.03,#35727255109725,card,114.78,USD,USD
2025-06-27 16:14:29 -0400,charge,#42904,visa,stripe_terminal,paid,2025-07-01,2025-07-01,184.00,4.42,179.58,#35727221588061,card,184.00,USD,USD
2025-06-27 16:13:16 -0400,charge,#42903,visa,stripe_terminal,paid,2025-07-01,2025-07-01,17.28,0.41,16.87,#35727158607965,card,17.28,USD,USD
2025-06-27 16:12:03 -0400,charge,#42907,visa,online,paid,2025-06-29,2025-06-27,82.50,2.28,80.22,#35727264284765,card,82.50,USD,USD
2025-06-27 15:59:18 -0400,charge,#42901,visa,stripe_terminal,paid,2025-07-01,2025-07-01,10.08,0.24,9.84,#35727012757597,card,10.08,USD,USD
2025-06-27 15:56:12 -0400,charge,#42900,visa,stripe_terminal,paid,2025-07-01,2025-07-01,50.64,1.22,49.42,#35726996734045,card,50.64,USD,USD
2025-06-27 15:54:51 -0400,charge,#42902,american_express,online,paid,2025-07-01,2025-07-01,180.00,6.42,173.58,#35727178104925,card,180.00,USD,USD
2025-06-27 15:43:29 -0400,charge,#42899,discover,stripe_terminal,paid,2025-07-01,2025-07-01,116.85,2.80,114.05,#35726981922909,card,116.85,USD,USD
2025-06-27 15:38:29 -0400,charge,#42897,visa,stripe_terminal,paid,2025-07-01,2025-07-01,12.96,0.31,12.65,#35726927429725,card,12.96,USD,USD
2025-06-27 15:30:18 -0400,charge,#42896,visa,stripe_terminal,paid,2025-07-01,2025-07-01,10.35,0.25,10.10,#35726901739613,card,10.35,USD,USD
2025-06-27 15:29:13 -0400,charge,#42895,discover,stripe_terminal,paid,2025-07-01,2025-07-01,186.18,4.47,181.71,#35726637989981,card,186.18,USD,USD
2025-06-27 15:26:18 -0400,charge,#42894,visa,stripe_terminal,paid,2025-07-01,2025-07-01,3.22,0.08,3.14,#35726890336349,card,3.22,USD,USD
2025-06-27 15:22:12 -0400,charge,#42892,master,stripe_terminal,paid,2025-07-01,2025-07-01,40.99,0.98,40.01,#35726861336669,card,40.99,USD,USD
2025-06-27 15:20:31 -0400,charge,#42891,visa,stripe_terminal,paid,2025-07-01,2025-07-01,5.35,0.13,5.22,#35726856257629,card,5.35,USD,USD
2025-06-27 15:03:42 -0400,charge,#42889,visa,stripe_terminal,paid,2025-07-01,2025-07-01,37.46,0.90,36.56,#35726731411549,card,37.46,USD,USD
2025-06-27 15:00:36 -0400,charge,#42890,american_express,online,paid,2025-07-01,2025-07-01,126.50,4.60,121.90,#35726813429853,card,126.50,USD,USD
2025-06-27 15:00:05 -0400,charge,#42888,visa,stripe_terminal,paid,2025-07-01,2025-07-01,67.52,1.62,65.90,#35726721384541,card,67.52,USD,USD
2025-06-27 14:53:01 -0400,charge,#42887,master,stripe_terminal,paid,2025-07-01,2025-07-01,114.96,2.76,112.20,#35726668922973,card,114.96,USD,USD
2025-06-27 14:50:01 -0400,charge,#42886,visa,stripe_terminal,paid,2025-07-01,2025-07-01,55.36,1.33,54.03,#35726601125981,card,55.36,USD,USD
2025-06-27 14:42:32 -0400,charge,#42884,visa,stripe_terminal,paid,2025-07-01,2025-07-01,27.43,0.66,26.77,#35726583758941,card,27.43,USD,USD
